pool_name,x_reserve,y_reserve
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x84e391d3b821ca86943fa07064df06bf9579aae1e34b91e40d4754cd475688::ZhongGaiGu_coin::ZhongGaiGuCoin>",40110,6690295031
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x21d1d734563b3f1ed3878e84a40593d86847d1ca92745293cebf4f6639db7f0::PRT__JNKPCQ::protonkjbb>",28124747,1433143505194
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x296e5be2cb49ccc9b8564e7aa60f5a0cbed9a3802bc4b79d8b8973804d25878::FUCK_coin::FUCKCoin>",40012,6614125999
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x45990b36ec9e8f194147aa94ab9c5a8503d3a8956c3a8fe886302900580b708::NoRug::NoRug>",86679,16495729599564
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x59cd8396b813711f1124291e02d1e0a740aff1f2c0e9be182bc1b1da32e0181::BabyAPTtoken::BabyAPT>",4536757,139129710967
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x63244a7989ff6f4cbadcf3e4052082a431939866092b3f8aaabb5966a8e5d26::XenCoin::XenCoin>",40008,555890464767
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x8c805723ebc0a7fc5b7d3e7b75d567918e806b3461cb9fa21941a9edc0220bf::token::Bun>",683,272591
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xa87d7347a7cc1e4b2b2b235c4da4b7cb164257afde0a567fa0c36ea33db53de::ApeSportToken::ApeSport>",1261478,6251491534610
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xd5c6ad22337c8962a5eb063c63978f54bf54d937455e25e60a6fd42bc35968c::PRT__WXMZFU::protonjzwz>",4711526,1216017444252
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xe47c83f01275bccd343ba24f28b16a32379429e7c4636354f2ce657acb5e03a::aptos_cheems::AptosCheems>",1106719,3003851838774
