event,rate,apt_reserve,usdc_reserve,version
swap,4.9188201876691355,12954936983057,638827123431,27504848
swap,4.918896137701901,12954837092735,638832061554,27504898
swap,4.918972031058577,12954737279264,638836995954,27505372
swap,4.919048012054674,12954637352844,638841936014,27505408
swap,4.911477676797692,12964629852844,638350778047,27505504
swap,4.903924811309421,12974622352844,637860375674,27506003
swap,4.906373016133293,12971388931128,638019775774,27506115
swap,4.898831927577843,12981381431128,637529882896,27506243
swap,4.9055340488392405,12972521674360,637966383688,27506971
swap,4.905464670097785,12972613525039,637961877954,27507067
swap,4.9116019509192475,12964516182711,638361333090,27507378
swap,4.9046415946265975,12973723640198,637909419578,27508070
swap,4.898457561766634,12981920609159,637507640844,27510086
swap,4.895820624202803,12985420609159,637336240925,27515157
remove_liquidity,4.895820624209476,12983749369458,637254214963,27515609
swap,4.897079488230373,12982082521871,637336240926,27515894
swap,4.887890363430541,12994295070312,636738743396,27517123
swap,4.88608756735004,12996695070312,636621455636,27517579
swap,4.883835474995356,12999695070312,636474906752,27517614
swap,4.8820349225231485,13002095070312,636357716283,27517646
swap,4.880235366010533,13004495070312,636240569015,27517780
swap,4.878436804722138,13006895070312,636123464924,27517816
swap,4.876040269778495,13010095070312,635967393248,27517869
swap,4.874543332561925,13012095070312,635869887395,27518362
swap,4.872747917995923,13014495070312,635752919876,27518943
swap,4.870505044878762,13017495070312,635606771044,27518964
swap,4.86901065676377,13019495070312,635509375870,27518994
swap,4.866322491303652,13023095070312,635334139820,27519737
swap,4.864084054390477,13026095070312,635188183684,27519769
swap,4.861698090962139,13029295070312,635032571127,27519793
swap,4.859611813420806,13032095070312,634896472755,27519820
swap,4.857526879062898,13034895070312,634760432780,27519853
swap,4.855740860699815,13037295070312,634643873543,27519876
swap,4.853658417768396,13040095070312,634507941920,27519904
swap,4.852171778999758,13042095070312,634410883601,27519929
swap,4.854761453804882,13038620437731,634580370044,27520014
swap,4.852976962102028,13041020437731,634463877159,27520396
swap,4.850896298859312,13043820437731,634328022901,27520415
swap,4.848520036705947,13047020437731,634172832197,27520458
swap,4.845255527177671,13051420437731,633959569057,27524283
swap,4.842142480390601,13055620437731,633756133628,27524326
swap,4.837996417773702,13061220437731,633485089619,27524359
swap,4.836105067618339,13063777437731,633361406204,27524388
swap,4.83340518266765,13067430132687,633184807293,27525147
swap,4.829523701685007,13072686785885,632930833856,27525227
swap,4.820974861680142,13084286785885,632371104539,27525612
swap,4.812742338347637,13095486785885,631831615997,27525643
swap,4.807754309913724,13102286785885,631504518943,27526265
swap,4.804530895242569,13106686785885,631293048592,27526541
swap,4.801544807793284,13110766785885,631097084581,27526565
swap,4.799789586678103,13113166785885,630981868544,27526591
swap,4.79788918344059,13115766785885,630857098692,27526612
swap,4.78265378607307,13136666785885,629855931227,27527021
swap,4.783115739204577,13136033195120,629886387231,27527127
swap,4.778558618687961,13142303195120,629586628596,27527172
swap,4.77886549379033,13141881749606,629606869340,27527180
swap,4.7792310599526315,13141379753950,629630980358,27527185
swap,4.786534904440063,13131362157018,630112514360,27527310
swap,4.793854099423221,13121346471507,630594692455,27527526
swap,4.801875870665807,13110395672468,631122733178,27527586
swap,4.809231995077692,13100377653787,631606570027,27527621
swap,4.815893196706115,13091325825754,632044380753,27527954
swap,4.817154764216755,13089613611322,632127263855,27528059
swap,4.811051830087061,13097923611322,631727211635,27528207
swap,4.812304607281084,13096220756446,631809558739,27528402
swap,4.822809064310334,13081968523510,632499612774,27528557
swap,4.813418259267175,13094739493005,631884292491,27529109
swap,4.802760007813344,13109279493005,631185195792,27529118
swap,4.798189454704753,13115529493005,630885165977,27529357
swap,4.792100667037283,13123869493005,630485250642,27529385
swap,4.787538040819577,13130129493005,630185407806,27529480
swap,4.78820420960809,13129217226170,630229305175,27529486
swap,4.780593341601334,13139677226170,629728856724,27529693
swap,4.786747793728206,13131238057276,630134584457,27530182
swap,4.793413956485319,13122115550017,630573752542,27530672
swap,4.799885413976563,13113277671397,630999801748,27531423
swap,4.7937934292385975,13121617671397,630599745104,27533010
swap,4.7892284086019705,13127877671397,630299796376,27533175
swap,4.795311343085061,13119558978246,630700450974,27533983
swap,4.7964504579218366,13118002945436,630775450974,27534026
swap,4.795282089913394,13119602945436,630698717103,27534394
swap,4.802619385015481,13109589788769,631181654628,27534769
swap,4.809132458168098,13100720640368,631610033654,27534792
swap,4.8092845507174795,13100513744313,631620033654,27534798
swap,4.816652153505719,13090503101860,632104260211,27534883
swap,4.825510509853709,13078497269238,632685975196,27535261
swap,4.831615647981472,13070242124772,633086580180,27535426
swap,4.837340614404475,13062515231746,633462009592,27536063
swap,4.844773267141779,13052503933627,633949094004,27536198
swap,4.852222609765663,13042493235113,634436897876,27536258
swap,4.857779622113342,13035040514241,634800543193,27536395
swap,4.865258965718014,13025029837220,635289656083,27536506
swap,4.871310255681952,13016947400921,635685106484,27536662
swap,4.886625947219495,12996558006539,636684888013,27536710
swap,4.885942367223357,12997468270570,636640409923,27536724
swap,4.879798378092208,13005658270570,636240502604,27537057
swap,4.8751923788220255,13011808270570,635940536495,27537164
swap,4.8765706517890495,13009971667713,636030536495,27537467
swap,4.871961747460848,13016131667713,635730281554,27537920
swap,4.8658217271803474,13024351667713,635330058418,27537996
swap,4.861220603630895,13030521667713,635029979019,27538121
swap,4.855086003689937,13038761667713,634629666951,27538159
swap,4.855158090618096,13038664992036,634634384230,27538207
swap,4.850564659428027,13044844992036,634334477254,27539346
swap,4.844442808015351,13053094992036,633934557960,27539459
swap,4.83832514425038,13061354992036,633534659408,27539727
swap,4.832211680921621,13069624992036,633134782474,27539976
swap,4.826102430765982,13077904992036,632734928034,27540051
swap,4.826491899271341,13077377988123,632760490460,27540216
swap,4.821909650068187,13083597988123,632460425028,27540618
swap,4.815805233488018,13091897988123,632060459624,27540760
swap,4.816201847496853,13091359593068,632086518881,27540874
swap,4.811626909388461,13097589593068,631786611871,27540894
swap,4.812328831437119,13096635552241,631832750505,27540990
swap,4.8077520832338845,13102875552241,631532603836,27541894
swap,4.801652589892144,13111205552241,631132371895,27541926
swap,4.802039149996742,13110678481585,631157808036,27542046
swap,4.797469770177973,13116928481585,630857823238,27542068
swap,4.797837547124215,13116426363835,630882034010,27542219
swap,4.803958726492969,13108077714175,631284855364,27542752
swap,4.799386613779615,13114327714175,630984750678,27543914
swap,4.794821027861232,13120577714175,630684931545,27544236
swap,4.80057576394194,13112720986584,631063765088,27545296
swap,4.807922986430406,13102710595307,631547102313,27546676
swap,4.813971297912541,13094487132432,631944713949,27546794
swap,4.821270661922682,13084583306395,632424236778,27547093
swap,4.830425643249287,13072193500191,633025149843,27547436
swap,4.82584521247995,13078403500191,632725322489,27548182
remove_liquidity,4.825845212484747,13078333754378,632721948229,27548213
